1	12
1	13
1	8
1	4
1	9
1	20
1	3
1	14
1	2
1	22
1	18
1	5
1	6
1	7
1	11
2	1
2	4
2	20
2	31
2	3
2	14
2	22
2	18
3	4
3	31
3	33
3	29
3	28
3	2
3	1
3	8
4	3
4	14
4	2
4	1
4	13
5	7
5	11
5	1
6	1
6	7
6	11
7	5
7	6
7	1
8	4
8	3
8	2
8	1
9	31
9	33
9	34
9	3
9	1
10	3
10	34
11	6
11	1
11	5
12	1
13	4
13	1
14	2
14	1
14	3
14	4
15	34
15	33
16	33
17	7
17	6
18	1
18	2
19	34
19	33
20	34
20	2
20	1
21	33
21	34
22	1
22	2
23	34
23	33
24	26
24	28
24	34
24	33
24	30
25	32
25	28
26	24
26	32
27	30
27	34
28	29
28	3
28	25
28	24
29	28
29	34
29	33
29	3
30	27
30	34
30	33
30	24
31	9
31	33
31	34
31	2
32	2
32	25
32	26
32	29
33	16
33	19
33	15
33	21
33	23
33	30
33	24
33	29
33	3
33	31
33	9
33	34
34	33
34	19
34	15
34	21
34	23
34	27
34	30
34	24
34	29
34	32
34	20
34	9
34	31
34	10
